futas_ido_utc;ag;eredmeny;hivasok_szama;hibakodok
2026-07-23T17:45:50+00:00;felkapott_api;siker;1;
2026-07-23T17:45:50+00:00;felkapott_rss;siker;1;
2026-07-23T17:45:50+00:00;idosor;siker;15;
2026-07-23T17:45:50+00:00;kulcsszo;siker;6;
2026-07-24T14:40:58+00:00;felkapott_api;siker;1;
2026-07-24T14:40:58+00:00;felkapott_rss;siker;1;
2026-07-24T14:40:58+00:00;idosor;siker;16;
2026-07-24T14:40:58+00:00;kulcsszo;siker;7;
2026-07-25T20:58:35+00:00;felkapott_api;siker;1;
2026-07-25T20:58:35+00:00;felkapott_rss;siker;1;
2026-07-25T20:58:35+00:00;idosor;siker;17;
2026-07-25T20:58:35+00:00;kulcsszo;siker;6;
2026-07-26T19:08:17+00:00;felkapott_api;siker;1;
2026-07-26T19:08:17+00:00;felkapott_rss;siker;1;
2026-07-26T19:08:17+00:00;idosor;siker;15;
2026-07-26T19:08:17+00:00;kulcsszo;siker;6;
2026-07-27T20:40:15+00:00;felkapott_api;siker;1;
2026-07-27T20:40:15+00:00;felkapott_rss;siker;1;
2026-07-27T20:40:15+00:00;idosor;blokkolva;4;429,429,429,429
2026-07-27T20:40:15+00:00;kulcsszo;kihagyva;0;
2026-07-28T20:22:21+00:00;felkapott_api;siker;1;
2026-07-28T20:22:21+00:00;felkapott_rss;siker;1;
2026-07-28T20:22:21+00:00;idosor;blokkolva;4;429,429,429,429
2026-07-28T20:22:21+00:00;kulcsszo;kihagyva;0;
2026-07-29T20:15:49+00:00;felkapott_api;siker;1;
2026-07-29T20:15:49+00:00;felkapott_rss;siker;1;
2026-07-29T20:15:49+00:00;idosor;siker;25;
2026-07-29T20:15:49+00:00;kulcsszo;siker;7;
2026-07-30T20:22:11+00:00;felkapott_api;siker;1;
2026-07-30T20:22:11+00:00;felkapott_rss;siker;1;
2026-07-30T20:22:11+00:00;kulcsszo;siker;13;
2026-07-30T20:22:11+00:00;idosor;siker;15;
2026-07-31T20:25:48+00:00;felkapott_api;siker;1;
2026-07-31T20:25:48+00:00;felkapott_rss;siker;1;
2026-07-31T20:25:48+00:00;kulcsszo;siker;13;
2026-07-31T20:25:48+00:00;idosor;siker;15;
2026-08-01T20:13:40+00:00;felkapott_api;siker;1;
2026-08-01T20:13:40+00:00;felkapott_rss;siker;1;
2026-08-01T20:13:40+00:00;kulcsszo;siker;13;
2026-08-01T20:13:40+00:00;idosor;siker;15;
2026-08-02T20:15:10+00:00;felkapott_api;siker;1;
2026-08-02T20:15:10+00:00;felkapott_rss;siker;1;
2026-08-02T20:15:10+00:00;kulcsszo;siker;16;
2026-08-02T20:15:10+00:00;idosor;siker;15;
2026-08-03T20:36:55+00:00;felkapott_api;siker;1;
2026-08-03T20:36:55+00:00;felkapott_rss;siker;1;
2026-08-03T20:36:55+00:00;kulcsszo;siker;13;
2026-08-03T20:36:55+00:00;idosor;siker;15;
2026-08-04T20:39:28+00:00;felkapott_api;siker;1;
2026-08-04T20:39:28+00:00;felkapott_rss;siker;1;
2026-08-04T20:39:28+00:00;kulcsszo;siker;14;
2026-08-04T20:39:28+00:00;idosor;siker;19;
2026-08-05T20:37:39+00:00;felkapott_api;siker;1;
2026-08-05T20:37:39+00:00;felkapott_rss;siker;1;
2026-08-05T20:37:39+00:00;kulcsszo;siker;13;
2026-08-05T20:37:39+00:00;idosor;siker;15;
2026-08-05T20:37:39+00:00;regresszio;siker;0;
2026-08-07T00:43:54+00:00;felkapott_api;siker;1;
2026-08-07T00:43:54+00:00;felkapott_rss;siker;1;
2026-08-07T00:43:54+00:00;kulcsszo;siker;13;
2026-08-07T00:43:54+00:00;idosor;siker;15;
2026-08-07T00:43:54+00:00;regresszio;siker;0;
2026-08-07T19:56:01+00:00;felkapott_api;siker;1;
2026-08-07T19:56:01+00:00;felkapott_rss;siker;1;
2026-08-07T19:56:01+00:00;kulcsszo;siker;14;
2026-08-07T19:56:01+00:00;idosor;siker;16;
2026-08-07T19:56:01+00:00;regresszio;siker;0;
2026-08-07T19:56:01+00:00;folytonossag;hiany;0;2026-08-06
2026-08-07T19:56:01+00:00;parositas;siker;0;10/10/0
2026-08-08T19:38:12+00:00;felkapott_api;siker;1;
2026-08-08T19:38:12+00:00;felkapott_rss;siker;1;
2026-08-08T19:38:12+00:00;kulcsszo;siker;13;
2026-08-08T19:38:12+00:00;idosor;siker;15;
2026-08-08T19:38:12+00:00;regresszio;siker;0;
2026-08-08T19:38:12+00:00;folytonossag;siker;0;
2026-08-08T19:38:12+00:00;parositas;siker;0;10/10/0
2026-08-09T19:42:38+00:00;felkapott_api;siker;1;
2026-08-09T19:42:38+00:00;felkapott_rss;siker;1;
2026-08-09T19:42:38+00:00;kulcsszo;siker;13;
2026-08-09T19:42:38+00:00;idosor;siker;15;
2026-08-09T19:42:38+00:00;regresszio;siker;0;
2026-08-09T19:42:38+00:00;folytonossag;siker;0;
2026-08-09T19:42:38+00:00;parositas;siker;0;10/10/3
2026-08-10T19:57:53+00:00;felkapott_api;siker;1;
2026-08-10T19:57:53+00:00;felkapott_rss;siker;1;
2026-08-10T19:57:53+00:00;kulcsszo;siker;13;
